Filename,Time (seconds),Chroma_A,Chroma_A#,Chroma_B,Chroma_C,Chroma_C#,Chroma_D,Chroma_D#,Chroma_E,Chroma_F,Chroma_F#,Chroma_G,Chroma_G#
mhwgo.mp3,0.00000,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.01161,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.02322,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.03483,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.04644,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.05805,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.06966,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.08127,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.09288,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.10449,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.11610,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.12771,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.13932,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.15093,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.16254,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.17415,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.18576,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.19737,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.20898,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.22059,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.23220,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.24381,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.25542,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.26703,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.27864,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.29025,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.30186,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.31347,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.32508,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.33669,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.34830,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.35991,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.37152,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.38313,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.39474,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.40635,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.41796,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.42957,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.44118,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
mhwgo.mp3,0.45279,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974,-39.6974
